"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"302","Atp5me",0.130542160844138,9.14933059908488,0.962575395459549,0.352213007072478,0.587815757568557,-5.35273073324103
"1316","Igfbp4",0.0763503291912029,5.85830832554404,1.10148448332761,0.289399615485419,0.536691369328941,-5.35353318577216
"2099","Atp5mk",-0.110247441074946,6.81052694570124,-1.09635802462431,0.291559332766141,0.538540816039586,-5.35409772115413
"2459","Cluh",-0.0712291563461758,9.13990570514512,-0.96097205844344,0.35299051331141,0.587815757568557,-5.35452352172469
"3161","Abcb8",-0.105279704857582,5.30734216865629,-1.07856871407521,0.299147025475856,0.541063063984747,-5.35656921011404
"962","Nup153",0.083928661697076,7.38899713289404,1.06262939668909,0.306069103021334,0.549041788360712,-5.35841823832184
"1031","Cpsf7",0.0855864411089495,5.01333828371139,1.058210109549,0.308009031667034,0.550405799527542,-5.35941392353774
"2997","Pdia4",-0.0888497260854333,10.7377103448368,-0.872054004204706,0.397996543614259,0.596196266979145,-5.36039846225161
"557","Vamp8",0.126608195921699,7.33674994876643,1.06368588125518,0.305606674307948,0.548475824611332,-5.36040598581056
"2057","Serpina3k",-0.0849511693914877,8.37752079864756,-0.998503511365546,0.335106134285358,0.575944382728933,-5.3612020127795
"1642","Hmgb1",0.0798875602526525,8.63912252772339,0.981027255448685,0.343351841613132,0.580482404053361,-5.36224609937381
"2762","Acy3",-0.089259899281168,5.5987362075554,-1.08531038152683,0.29625442779321,0.540230033026446,-5.36250320141
"1069","Ccdc124",0.0881160319008742,8.62309432741301,0.981137538559902,0.343299359520633,0.580482404053361,-5.36303220116706
"2551","Psmc2",-0.0819168174003444,8.61374260036241,-0.981232412569329,0.34325421494567,0.580482404053361,-5.36344981375999
"580","Ppp1r12a",0.102237416289981,5.60373247350965,1.08224637351381,0.297566493376352,0.540542929330375,-5.36551167677819
"2577","Iars2",-0.099749244486306,7.63149779215456,-1.03961639666497,0.316270019596059,0.557569528641586,-5.36598122546686
"2468","Abca6",-0.074545078555313,7.50237313574647,-1.04629652385,0.313283687091122,0.554522524377032,-5.36739541023131
"1526","Immt",0.101937203522827,2.78342921252436,0.946755335630384,0.359937355224095,0.587815757568557,-5.36803623223435
"2756","Prpf8",-0.0907445015744708,7.33332913721983,-1.05581647098814,0.309063529537979,0.551810316735255,-5.36837738203765
"954","Rrp1",0.0888089502047729,5.36077874025541,1.06808025582566,0.303688756644507,0.546256703919272,-5.36935089136566
"350","Ubqln2",0.123816589654485,3.71783144178857,0.93816249963687,0.3641821103683,0.587815757568557,-5.36969130089135
"2188","Spast",-0.0808925173594179,4.35827946099016,-0.999999348044161,0.334406996205777,0.575423327160896,-5.36987579820794
"1267","Coq5",0.0871474482966015,3.38411454961668,0.913050731580048,0.376785525969217,0.587815757568557,-5.37163460047807
"653","Ppid",0.093631724623684,9.57545360019253,0.917876677801585,0.374340460010232,0.587815757568557,-5.37205305164587
"2068","Slco2b1",-0.0744928145492949,6.97013019542714,-1.0715130001167,0.302196730969027,0.544348597730184,-5.37230838196128
"3183","Cyp2c50",-0.145175119099241,6.86701447930576,-1.07545591276103,0.300489655942409,0.542628278713664,-5.37273356419495
"946","Serpinf2",0.0925421224991609,6.64787535445107,1.08139009582618,0.297933937612915,0.540684194997089,-5.37368064914419
"567","Rwdd1",0.11710820198741,6.50746218480355,1.08403433458337,0.296800331704855,0.540230033026446,-5.37379412323949
"489","Ciao2a",0.0839395405911603,3.41962825651529,0.910362957180506,0.378152021603082,0.587815757568557,-5.37448615083164
"2735","Pitrm1",-0.0849812303541624,7.81875804971305,-1.0186245351562,0.32578922450608,0.566715365834667,-5.37457096573501
"288","Pbdc1",0.145758295629773,3.67676418721034,0.928202093305305,0.369145772748227,0.587815757568557,-5.37502511076357
"2317","Zfp638",-0.137622433753487,5.89831667471607,-1.08031142230651,0.298397294977565,0.540783788441524,-5.37557454182961
"2319","Swap70",-0.0796093903939807,4.11147464037899,-0.971583983925167,0.347866873655386,0.583372434571229,-5.37583413762824
"2104","Mrpl35",-0.0756949580383939,5.90318319196834,-1.08010833339763,0.298484594054771,0.540783788441524,-5.37588417237182
